user,timestamp,activity,x-axis,y-axis,z-axis
Enter ID Here,1.75425E+12,Brushing teeth,-6.311081,7.46933,6.6069317
Enter ID Here,1.75425E+12,Brushing teeth,-8.911452,2.9213753,3.2244124
Enter ID Here,1.75425E+12,Brushing teeth,-9.105492,-1.3199489,2.6997867
Enter ID Here,1.75425E+12,Brushing teeth,-9.343849,-0.9558251,3.3034658
Enter ID Here,1.75425E+12,Brushing teeth,-7.440583,6.1409965,3.7202916
Enter ID Here,1.75425E+12,Brushing teeth,-6.3985186,8.009527,4.134722
Enter ID Here,1.75425E+12,Brushing teeth,-8.622788,-1.9272213,4.8054767
Enter ID Here,1.75425E+12,Brushing teeth,-8.302982,11.291432,2.093712
Enter ID Here,1.75425E+12,Brushing teeth,-8.485044,4.686897,1.3139601
Enter ID Here,1.75425E+12,Brushing teeth,-10.390705,-9.159391,3.1381726
Enter ID Here,1.75425E+12,Brushing teeth,-10.521263,-5.1959515,3.2543569
Enter ID Here,1.75425E+12,Brushing teeth,-6.769829,9.213292,3.4951098
Enter ID Here,1.75425E+12,Brushing teeth,-9.654073,-2.67104,3.8460581
Enter ID Here,1.75425E+12,Brushing teeth,-8.2562685,0.6827322,3.8664203
Enter ID Here,1.75425E+12,Brushing teeth,-8.6287775,6.3973207,3.8280916
Enter ID Here,1.75425E+12,Brushing teeth,-8.447913,-2.6674469,3.216028
Enter ID Here,1.75425E+12,Brushing teeth,-7.1195793,6.8033667,4.333553
Enter ID Here,1.75425E+12,Brushing teeth,-6.4512205,10.612294,3.7634118
Enter ID Here,1.75425E+12,Brushing teeth,-10.995582,-9.7666645,4.5659213
Enter ID Here,1.75425E+12,Brushing teeth,-6.7291045,3.879596,5.318125
Enter ID Here,1.75425E+12,Brushing teeth,-10.5009,-5.088152,4.0568666
Enter ID Here,1.75425E+12,Brushing teeth,-9.718753,-7.821476,2.7644665
Enter ID Here,1.75425E+12,Brushing teeth,-5.6067886,7.1842594,6.3326406
Enter ID Here,1.75425E+12,Brushing teeth,-6.8105536,9.761873,4.8809366
Enter ID Here,1.75425E+12,Brushing teeth,-8.95577,-0.10660205,3.6292608
Enter ID Here,1.75425E+12,Brushing teeth,-5.748126,9.559449,4.853388
Enter ID Here,1.75425E+12,Brushing teeth,-9.38697,1.9188368,2.9632974
Enter ID Here,1.75425E+12,Brushing teeth,-9.517527,-5.61158,2.9668908
Enter ID Here,1.75425E+12,Brushing teeth,-6.031999,10.17271,5.409156
Enter ID Here,1.75425E+12,Brushing teeth,-9.286356,-5.122887,3.126195
Enter ID Here,1.75425E+12,Brushing teeth,-7.626239,2.9716818,5.1121073
Enter ID Here,1.75425E+12,Brushing teeth,-10.238587,-9.369002,2.5800092
Enter ID Here,1.75425E+12,Brushing teeth,-6.287125,9.996637,4.659348
Enter ID Here,1.75425E+12,Brushing teeth,-7.137546,6.490747,4.4054193
Enter ID Here,1.75425E+12,Brushing teeth,-6.748269,7.6537876,4.316784
Enter ID Here,1.75425E+12,Brushing teeth,-10.41466,-7.3854856,3.0806794
Enter ID Here,1.75425E+12,Brushing teeth,-9.094712,-3.4100678,3.6903474
Enter ID Here,1.75425E+12,Brushing teeth,-10.103239,-10.352377,2.3548272
Enter ID Here,1.75425E+12,Brushing teeth,-8.473066,2.1044922,5.6726665
Enter ID Here,1.75425E+12,Brushing teeth,-6.1386013,10.65182,5.610382
Enter ID Here,1.75425E+12,Brushing teeth,-9.584602,-2.5201204,3.6005142
Enter ID Here,1.75425E+12,Brushing teeth,-7.6370187,4.9935274,3.9358914
Enter ID Here,1.75425E+12,Brushing teeth,-7.4609456,2.6890068,4.304806
Enter ID Here,1.75425E+12,Brushing teeth,-10.801542,-10.443407,5.6175685
Enter ID Here,1.75425E+12,Brushing teeth,-9.682819,-4.3263664,3.7262807
Enter ID Here,1.75425E+12,Brushing teeth,-9.715159,-5.625953,4.120349
Enter ID Here,1.75425E+12,Brushing teeth,-6.1062613,10.299674,4.473693
Enter ID Here,1.75425E+12,Brushing teeth,-9.409727,-3.702325,0.3425639
Enter ID Here,1.75425E+12,Brushing teeth,2.8339376,3.6508207,10.511681
